dt,base_byers_price_index,key_rate,dollar_rate
2018-12-06,,7.5,66.8242
2018-12-07,,7.5,66.7377
2018-12-08,,,66.9227
2018-12-10,,7.5,
2018-12-11,,7.5,66.2416
2018-12-12,,7.5,66.5022
2018-12-13,,7.5,66.4225
2018-12-14,,7.5,66.255
2018-12-15,,,66.4337
2018-12-17,,7.75,
2018-12-18,,7.75,66.6208
2018-12-19,,7.75,66.7454
2018-12-20,,7.75,67.1121
2018-12-21,,7.75,67.371
2018-12-22,,,68.0085
2018-12-24,,7.75,
2018-12-25,,7.75,68.4073
2018-12-26,,7.75,68.7448
2018-12-27,,7.75,68.8865
2018-12-28,,7.75,68.8762
2018-12-29,,,69.5218
2018-12-30,,,69.4706
2018-12-31,,,
2019-01-09,,7.75,
2019-01-10,,7.75,67.0795
2019-01-11,,7.75,66.8605
2019-01-12,,,66.9167
2019-01-14,,7.75,
2019-01-15,,7.75,67.192
2019-01-16,,7.75,67.082
2019-01-17,,7.75,66.7617
2019-01-18,,7.75,66.4438
2019-01-19,,,66.3309
2019-01-21,,7.75,
2019-01-22,,7.75,66.3634
2019-01-23,,7.75,66.5499
2019-01-24,,7.75,66.3318
2019-01-25,,7.75,66.0016
2019-01-26,,,65.917
2019-01-28,,7.75,
2019-01-29,,7.75,65.93
2019-01-30,,7.75,66.3412
2019-01-31,,7.75,66.0987
2019-02-01,,7.75,65.3577
2019-02-02,,,65.6601
2019-02-04,,7.75,
2019-02-05,,7.75,65.5859
2019-02-06,,7.75,65.5691
2019-02-07,,7.75,65.6686
2019-02-08,,7.75,66.0199
2019-02-09,,,66.0628
2019-02-11,,7.75,
2019-02-12,,7.75,65.6517
2019-02-13,,7.75,65.7147
2019-02-14,,7.75,65.6783
2019-02-15,,7.75,66.5429
2019-02-16,,,66.7044
2019-02-18,,7.75,
2019-02-19,,7.75,66.247
2019-02-20,,7.75,66.2022
2019-02-21,,7.75,65.8568
2019-02-22,,7.75,65.5401
2019-02-23,,,65.5149
2019-02-25,,7.75,
2019-02-26,,7.75,65.2582
2019-02-27,,7.75,65.6182
2019-02-28,,7.75,65.757
2019-03-01,,7.75,65.8895
2019-03-02,,,65.8145
2019-03-04,,7.75,
2019-03-05,,7.75,65.7956
2019-03-06,,7.75,65.8004
2019-03-07,,7.75,65.843
2019-03-08,,,65.9646
2019-03-11,,7.75,
2019-03-12,,7.75,66.0763
2019-03-13,,7.75,65.7674
2019-03-14,,7.75,65.589
2019-03-15,,7.75,65.4021
2019-03-16,,,65.4201
2019-03-18,,7.75,
2019-03-19,,7.75,64.6694
2019-03-20,,7.75,64.3167
2019-03-21,,7.75,64.2803
2019-03-22,,7.75,63.742
2019-03-23,,,63.7705
2019-03-25,,7.75,
2019-03-26,,7.75,64.4993
2019-03-27,,7.75,64.1683
2019-03-28,,7.75,64.5925
2019-03-29,,7.75,64.8012
2019-03-30,,,64.7347
2019-03-31,,,
2019-04-01,,7.75,
2019-04-02,,7.75,65.4176
2019-04-03,,7.75,65.4726
2019-04-04,,7.75,65.1639
2019-04-05,,7.75,65.3281
2019-04-06,,,65.4072
2019-04-08,,7.75,
2019-04-09,,7.75,65.3498
2019-04-10,,7.75,64.7766
2019-04-11,,7.75,64.7373
2019-04-12,,7.75,64.3991
2019-04-13,,,64.5171
2019-04-15,,7.75,
2019-04-16,,7.75,64.2469
2019-04-17,,7.75,64.2422
2019-04-18,,7.75,63.945
2019-04-19,,7.75,64.0688
2019-04-20,,,63.9602
2019-04-22,,7.75,
2019-04-23,,7.75,63.786
2019-04-24,,7.75,63.7906
2019-04-25,,7.75,63.9798
2019-04-26,,7.75,64.6794
2019-04-27,,,64.7053
2019-04-29,,7.75,
2019-04-30,,7.75,64.6917
2019-05-01,,,64.6314
2019-05-06,,7.75,
2019-05-07,,7.75,65.335
2019-05-08,,7.75,65.2166
2019-05-09,,,65.2287
2019-05-13,,7.75,
2019-05-14,,7.75,65.4703
2019-05-15,,7.75,65.3001
2019-05-16,,7.75,64.8489
2019-05-17,,7.75,64.5598
2019-05-18,,,64.6327
2019-05-20,,7.75,
2019-05-21,,7.75,64.4888
2019-05-22,,7.75,64.5372
2019-05-23,,7.75,64.4156
2019-05-24,,7.75,64.4913
2019-05-25,,,64.6106
2019-05-27,,7.75,
2019-05-28,,7.75,64.4636
2019-05-29,,7.75,64.5394
2019-05-30,,7.75,64.9084
2019-05-31,,7.75,65.0583
2019-06-01,,,65.3834
2019-06-03,,7.75,
2019-06-04,,7.75,65.5547
2019-06-05,,7.75,65.1614
2019-06-06,,7.75,65.1243
2019-06-07,,7.75,65.234
2019-06-08,,,65.0395
2019-06-10,,7.75,
2019-06-11,,7.75,64.7919
2019-06-12,,7.75,64.5158
2019-06-13,,7.75,
2019-06-14,,7.75,64.6314
2019-06-15,,,64.4326
2019-06-17,,7.5,
2019-06-18,,7.5,64.3187
2019-06-19,,7.5,64.3352
2019-06-20,,7.5,63.9794
2019-06-21,,7.5,63.3877
2019-06-22,,,63.1295
2019-06-24,,7.5,
2019-06-25,,7.5,62.9095
2019-06-26,,7.5,62.5229
2019-06-27,,7.5,62.8083
2019-06-28,,7.5,63.0452
2019-06-29,,,63.0756
2019-06-30,,,
2019-07-01,,7.5,
2019-07-02,,7.5,63.0541
2019-07-03,,7.5,63.2265
2019-07-04,,7.5,63.4951
2019-07-05,,7.5,63.4013
2019-07-06,,,63.5841
2019-07-08,,7.5,
2019-07-09,,7.5,63.8699
2019-07-10,,7.5,63.766
2019-07-11,,7.5,63.7988
2019-07-12,,7.5,62.9944
2019-07-13,,,63.0204
